Každý reálný systém je uzavřený;NE
Každý reálný systém je zároveň relativně izolovaný;ANO
Ke spojení systémů lze dojít pouze tehdy, jsou-li systémy stejně zapsány.;NE
Ke stádiím cyklu řízení nepatří rozhodování;NE
Ke stádiím cyklu řízení patří ovlivňování;ANO
Ke vztahům mezi modelem a systémem patří homomorfie;ANO
Ke vztahům mezi subsystémy organizačního systému patří nezávislost;NE
Ke vztahům mezi subsystémy organizačního systému patří vztah disjunkce nebo konjunkce.;ANO
Ke vztahům mezi subsystémy patří vztah zastupitelnosti a proporcionality.;NE
Ke vztahům mezi subsystémy patří vztah zastupitelnosti;NE
K fázím procesu řízení patří ovlivňování;NE
K fázím procesu řízení patří vedení lidí;NE
K metodám kybernetiky patří metoda analogie a metoda indukce;NE
K metodám kybernetiky patří metoda analogie a metoda modelování;ANO
Koeficient výkonnosti v řízení preferuje zkušenost;NE/ANO
Kompetence organizačního subsystému je 0,333.;NE
Kompetence organizačního systému je 0,111;NE
Kompetence organizačního systému je 1;ANO
Konjunkce není logickým součtem;ANO
Kontrola není součástí fáze plánování;NE
K součástem kvalifikace pracovníka nelze zahrnovat jeho temperament;NE
K transformaci dochází mezi jednotlivými výstupy ze systému;NE
K transformaci dochází mezi vstupem a výstupem systému.;ANO
K transformacím dochází i mezi jednotlivými vstupy do systému;NE
K transformacím patří uzavřené a otevřené;ANO
K typům organizační struktury patří divizionální.;ANO
Kvalita řídící informace je dána její schopností snížit entropii;ANO
Kvalitativní stránka informace se týká jejího výběru z adekvátní variety;ANO
Kvantitativní charakteristika informace je dána jejím výběrem z adekvátní variety;NE
Kybernetika se v ničem neliší od algebry;NE
Má-li dojit k řízení, musí být řízený systém ochoten přijmout informaci;ANO
Manažer je z hlediska přenosu informace prvkem paralelně přidělujícím;ANO
Manažer zpracovává informaci konjunktivně;ANO
Měřitelné složky kvalifikace je nutno hodnotit v souvislosti s pracovní pozicí;ANO
Mezi cílem řízení a cílem regulace není žádný rozdíl.;NE
Mezi členy sociometrického jádra skupiny jsou pozitivní dyadické vztahy;ANO
Mezi sociálním a organizačním subsystémem je vztah disjunkce;NE
Mezi systémem a modelem lze určit vztah izomorfní nebo homogenní;Ne
Mezi systémem a modelem lze určit vztah izomorfní nebo homomorfní;ANO
Množství informace k rozhodnutí roste s počtem variant řešení;ANO
MV v rozhodování vyšší úrovně řízení je 100%;ANO
MV v rozhodování vyšší úrovně řízení se blíží 100%;NE
Na jakémkoliv objektu našeho zkoumání lze zavést jen jeden systém.;NE
Na každém objektu našeho zájmu lze zavést jediný systém(nekonečně mnoho systémů);NE
Nejmenší organizační jednotkou je JOP (jednotka organizace práce);ANO
Nejmenší organizační jednotkou je organizační stupeň;NE
Nejmenší organizační jednotkou není jeden pracovník;ANO
Největší řídící kapacitou disponuje vrcholový pracovník;NE
Ne každá organizační jednotka je organizačním stupněm;ANO
Obecnou snahou při projektování řídících struktur je zvětšov. průměrnou řídí. kapacit;ANO
Objektivním faktorem velikosti řídící kapacity je podobnost řízených funkcí;?
Objekt je abstrakcí systému;NE
Objekty řízení jsou pouze systémy adaptivní s cílových chováním.;ANO
Operátor je pravidlem přiřazení výstupního vektoru vstupním;ANO
Organizace je procesem.;ANO
Organizaci lze charakterizovat jako míru uspořádání.;ANO
Organizační proces je tvořen smíšenými vazbami a jedním typem prvků.;NE
Organizační struktura JE nosnou strukturou podniku;ANO
Organizační struktura podniku je tvořena organizačními jednotkami;ANO
Organizační strukturu podniku lze vytvářet i podle podnikových funkcí a podle odvětví;ANO
Organizační subsystém má větší stabilitu než technický;NE
Organizační systém je charakterizován smíšenými prvky a smíšenými vazbami;NE
Organizační systém je součástí sociálně-ekonomické oblasti;ANO
Organizační systém je tvořen smíšenými vazbami a jedním typem prvků;NE
Organizační systém ke vztahům mezi subsystémy patří vztah proporcionality;NE
Organizační systém má kompetenci 0,333;NE
Organizační systém má nižší kompetenci než řídící;ANO
Organizační systém má třetinovou kompetenci subsystému řídícího;ANO
Organizační systém podniku je systémem stochastickým a retrospektivním;ANO
Ovládání se liší od řízení absencí vlastní zpětné vazby;NE
Ovládání se neliší od řízení neúčastí vlastní zpětné vazby;ANO
Ovládání se od řízení liší v charakteru u řídícího a ovládajícího systému;NE
Ovlivňování je součásti fáze organizování;ANO
Ovlivňování patří k typům informačního působení;NE
Paralelní vazby svodné zjednodušují a rozvodné ztěžují složitost systému;ANO
Participace je způsobem vedení lidí;ANO
Partikularizace je způsobem vedení lidí;NE
Podle zpracování informace jsou řídící prvky distribučně množící a paralelně přidělující;NE
Podle zpracování informace rozlišujeme řídící prvky disjunktivní a konjunktivní;ANO
Podle zpracování informace rozlišujeme také prvky disjunktivní a paralelně-přidělující;NE
Pořadí vstupů do systémů a výstupů z něj definuje repertoár.;NE
Pracovní proces organizačního systému je tvořen také technologickým subsystémem.;NE
Pravděpodobnost chování organizačního systému klesá s klesajícím počtem séniových prvků;NE
Pravděpodobnost přenosu řídící informace klesá s rostoucím počtem prvků v jejich sériovém zapojení;NE
Procesní dekompozice organizačního systému podle vazeb a prvků vymezuje 9 subsystémů;ANO
Procesní dekompozice organizačního systému vymezuje řídící proces;NE
Procesní dekompozici organizačního systému podle vazeb a prvků vymezuje dvanáct subsystémů;NE
Procesní dekompozici tvoří pracovní, organizační a řídící procesy;NE/ANO
Proces řízení je tvořen třemi stádii a čtyřmi fázemi.;NE
Projevem disjunktivního typu skupiny je soutěž;ANO
Projevem disjunktivního typu skupiny je spolupráce;NE
Projevem uzavřené transformace je cyklus.;ANO
Pro projektové řízení je maticová řídící struktura vhodným typem.;ANO
Prověřování složení pracovní skupiny je záležitostí operativního řízení;?
Prověřování vhodného složení pracovní skupiny je záležitost plánování;?
Průměrná řídící kapacita je 2,5;NE
Průnik dvou transformací má vždy stejný tvar;NE
Průniky dvou transformací nemají různé výsledky;NE
Průniky dvou transformací vykazují stejný výsledek;NE
Prvky organizačního subsystému tvoří pouze lidé a informační vazby.;NE
Prvky organizačního systému jsou lidé a výrobní prostředky.;ANO
Předmětem zkoumání kybernetiky nejsou adaptavní systém;NE
Redukovaný systém nemůže být relativně izolovaným;NE
Regulace nevykazuje přímé zpětné vazby, pouze nepřímé;NE
Regulace patří k tipům informačního působení;ANO
Repertoár může nabývat různých trajektorií;ANO
Repertoár není totéž, co trajektorie.;ANO
Rozlišovací úroveň je dána hlediskem a rozlišovací schopností pozorovatele.;ANO
Rozlišovací úroveň určuje podrobnost zkoumání systému;ANO
Rozlišující úroveň je ovlivněna hlediskem pozorovatele;ANO
Rozmístění přímo podřízených pracovníků není faktorem ovlivňující velikost řídící kapacity;NE
Řídící informace mění entropii adresáta;ANO
Řídící informace snižuje entropii adresáta;ANO
Řídící informace zmenšuje nebo zvětšuje entropii příjemce;NE
Řídící kapacita je dána počtem podřízených pracovníků celkem;NE
Řídící kapacita nezavrhuje osobní vlastnosti řídícího pracovníka;NE
Řídící kapacitu je nutno na řídící vertikále zachovávat stejnou;NE
Řídící kapacitu lze zvyšovat snižováním rozdílnosti říz. Fcí.;ANO
Řídící kapacitu lze zvyšovat zvyšováním rozdílnosti říz. Fcí.;NE
Řídící pracovník je zálohovým prvkem nezatížené zálohy;NE
Řídící pracovník je zálohovým prvkem zatížené zálohy;ANO
Řídící prvky organizačního systému lze charakterizovat podle práce a informacemi;ANO
Řídící prvky podle zpracování informace: disjunktivní (krát), konjunktivní (plus);NE
Řídící rozpětí se po řídící vertikále od shora dolů zvětšuje;ANO
Řídící struktura je nosnou strukturou podniku;NE
Řídící subsystém je definován největší kompetencí a stabilitou;NE
Řídící subsystém má nejvyšší kompetenci a nejnižší stabilitu;ANO
Řídící subsystém má nejvyšší stabilitu i kompetenci;NE
Řídící subsystém má třetinovou kompetenci organizačního systému a nejmenší stabilitu;ANO
Řízení je vědou i uměním;ANO
Řízení lze charakterizovat jako činnost a proces;NE
Řízení se liší od ovládání absencí přímé zpětné vazby;NE
Sériový řídící prvek je ke svému zálohovému prvku ve vztahu disjunkce;ANO
Složitost systému není dána typem vnitřních vazeb, ale jejich počtem;NE
Sociálně řídící oblast organizačního systému obsahuje také organizační a řídící subsystémy.;NE
Sociální a technický subsystém se liší v kompetenci, ne ve stabilitě;NE
Sociální benefity jsou je vnějšími stimuly motivace;ANO
Sociální benefity jsou je vnitřními stimuly motivace;NE
Sociální benefity jsou vnějšími stimuly motivace;ANO
Sociální systém podniku je adaptivně a relativně izolovaný;ANO
Součet kompetencí řídícího a materiálně energetického subsystému je 0,166;NE
Součet kompetencí řídícího a materiálně energetického subsystému je 0,399;ANO
Součet kompetencí řídícího a sociálního subsystému je 0,444.;ANO
Součet kompetencí tech. A říd subsystému je 0,399;ANO
Součet kompetencí techn. A řídícího subsystému je 0,444;NE
Specialista zpracovává informaci DISJUNKTIVNĚ;ANO
Spojení dvou systémů otevřenou vazbou je uskutečněno jen jednou vazbou.;ANO
Spojování systémů je případem řízení nebo ovládání;ANO
Spojování systémů v otevřené vazbě je případem řízení;NE/ANO
Spojování systémů v uzavřené vazbě je případem řízení;ANO
Stochastický charakter systémů zvětšuje i jejich složitost.;ANO
Systém je abstrakcí objektu;ANO
Systém je abstrakcí objektu a zjednodušuje jej.;ANO
Systém je opakem chaosu;ANO
Systém je úplným popisem objektu našeho zájmu.;NE
Systémový přístup na rozdíl od elementarismu respektuje vztahy mezi prvky;ANO
Systém 1. řádu vykazuje nejmenší míru rozlišení;ANO
Štábní řídící pracovníci jsou zařazeni v divizionálním typu řídící struktury;ANO
Technický subsystém má větší stabilitu než řídící;ANO
Teoretická velikost podniku je vyjádřena v měrných jednotkách.;ANO
Trajektorie je konkrétním případem repertoáru;ANO
Transformace je dána posloupností na vstupech do systému.;NE
Transformace je změnou mezi vstupem do systému a výstupem z něho;ANO
Transformace mohou být jednoznačné a mnohoznačné.;NE
Transformace probíhá i mezi vstupy do systému.;ANO
Transformace probíhají v kalendáři vstupů, ale ne výstupů;NE
Transformaci mezi vstupy a výstupy systému ovlivňují i vstupy minulé.;ANO
Účast disjunktivního prvku zrychluje přenos informací v sérii;ANO
Účast disjunkt. Prvků zrychluje přenos informací v sérii;ANO
Účast konjunktivního Prvků zrychluje přenos informací v sérii;NE
Ukazatel koheze patří ke skupinovým ukazatelům úrovně neformálních vztahů;ANO
Útvarová dekompozice organizačního systému má jiné subsystémy než procesní.;NE
Útvarová dekompozice organizačního systému vymezuje organizačníí proces;NE
Útvarová kompozice o.s. určuje 3, procesní 9 subsystémů;NE
Varieta je množinou stavů systému, jeho transformací, chování.;ANO
Velikost organizačního systému je faktorem určujícím velikost řídící kapacity;NE
Velikost řídící kapacity ovlivňují i subjektivní faktory.;ANO
V jednoznačné transformaci mají různé operandy stejný obraz;NE
V každém typu informačního působení se nachází deterministický systém;NE
V sériové vazbě disjunktivní prvek zrychluje přenos informace;NEANO
V sériové vazbě konjunktivní prvek zpomaluje přenos informace;NE
V útvarové i procesní dekompozici jsou různé subsystémy;ANO
V útvarové i procesní dekompozici jsou různé subsystémy;NE
V územní organizační struktuře vzniká ?lunární? produkt na úrovni závodu či provozů;ANO
Výhodou divizionálního typu řídící struktury je prosazování specializace.;NE
výhodou FUNKCIONÁLNÍHO typu řídící struktury je prosazování specializace;ANO
Výhodou odvětvové organizační struktury je možnost specializace;ANO
Výrobní podnik je systémem deterministickým a redukovaným;NE
Výrobní podnik je systémem reálným a prospektivním;NE
Výrobní podnik je systémem relativně izolovaným a složitým;ANO
Výrobní podnik je systémem relativním a relativně izolovaným;NE
Výrobní podnik je systémem stochastickým a redukovaným;ANO
Výrobní systém podniku je reálný a relativně izolovaný;ANO
Výrobní systém podniku je stochastický a relativní;NE
Výrobní systém podniku je systémem adaptivním a otevřeným;NE
Výsledkem agregace je zjednodušení struktury systému;ANO
Výsledkem integrace je zjednodušení struktury systému;ANO
Vždy lze provést tolik mocnin, kolik je prvků transformace systému;ANO
Základními typy stylu řízení jsou autokratický a liberální;ANO
Základními typy stylu řízení jsou autokratický a týmový;NE
Základními typy stylu řízení jsou liberální a autokratický;ANO
Zemědělský podnik je systémem adaptivním a otevřeným;NE
Zemědělský podnik je systémem relativním a relativně izolovaným;NE
Zemědělský podnik je systémem retrospektivním a redukovaným;ANO
Zemědělský podnik je systémem stochastickým a prospektivním;NE
Změna trajektorie změní činnost systému;ANO
Změnou trajektorie změníme chování systému;ANO
Žádná transformace uzavřená nemůže být transformací jednojednoznačnou.;NE
